,WinXwin,Comp,Talk,Vehicle,Avg. Rank
Local Liability Total Direct Similarity Cross-Label Deviation Minimization,106.334 (33),99.216 (41),103.740 (34),104.721 (53),40.25
Local Liability Total Direct Similarity Cross-Label Total Minimization,93.498 (65),89.602 (65),99.830 (60),97.902 (66),64.00
Local Liability Total Direct Similarity (With Sparsity) Cross-Label Deviation Minimization,103.015 (55),107.445 (24),103.658 (35),108.816 (44),39.50
Local Liability Total Direct Similarity (With Sparsity) Cross-Label Total Minimization,100.675 (58),91.818 (63),96.685 (65),98.547 (64),62.50
Local Liability Total All-Pairs Similarity (excl source) Cross-Label Deviation Minimization,105.368 (39),100.396 (36),107.338 (19),106.318 (49),35.75
Local Liability Total All-Pairs Similarity (excl source) Cross-Label Total Minimization,92.308 (66),90.405 (64),102.514 (44),100.479 (61),58.75
Local Liability Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Deviation Minimization,102.916 (56),107.635 (23),101.466 (48),107.597 (46),43.25
Local Liability Total All-Pairs Similarity (excl source) (With Sparsity) Cross-Label Total Minimization,100.675 (58),91.949 (62),96.687 (64),98.524 (65),62.25
Local Reachability Average All-Pairs Similarity (incl source) Cross-Label Deviation Minimization,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
Local Reachability Average All-Pairs Similarity (incl source) Cross-Label Total Minimization,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
Local Reachability Average All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Deviation Minimization,113.502 (19),110.359 (19),106.441 (25),115.921 (23),21.50
Local Reachability Average All-Pairs Similarity (incl source) (With Sparsity) Cross-Label Total Minimization,113.829 (15),111.223 (14),106.567 (23),116.976 (19),17.75
Local Reachability Average Direct Similarity Cross-Label Deviation Minimization,104.554 (48),97.312 (53),106.555 (24),103.961 (55),45.00
Local Reachability Average Direct Similarity Cross-Label Total Minimization,104.554 (48),97.312 (53),106.555 (24),103.961 (55),45.00
Local Reachability Average Direct Similarity (With Sparsity) Cross-Label Deviation Minimization,114.573 (14),111.503 (11),107.815 (14),116.352 (21),15.00
Local Reachability Average Direct Similarity (With Sparsity) Cross-Label Total Minimization,115.722 (12),112.544 (3),108.439 (8),117.426 (18),10.25
Local Reachability Average All-Pairs Similarity (excl source) Cross-Label Deviation Minimization,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
Local Reachability Average All-Pairs Similarity (excl source) Cross-Label Total Minimization,104.867 (45),99.229 (39),108.227 (11),106.412 (48),35.75
